Categoria,Produto,Calorias,Gordura total,Carboidratos,Proteínas
Brabos do Méqui,Brabo Melt Crispy,1057kcal,73g,50g,49g
Brabos do Méqui,Brabo Bacon Salad,1051kcal,81g,42g,39g
Sanduíches de Carne Bovina,Big Mac,499kcal,25g,42g,26g
Sanduíches de Carne Bovina,Duplo Quarterão,819kcal,53g,34g,52g
Sanduíches de Carne Bovina,Quarterão com Queijo,549kcal,32g,34g,31g
Sanduíches de Carne Bovina,McNífico Bacon,640kcal,40g,36g,34g
Sanduíches de Carne Bovina,Duplo Cheddar McMelt,855kcal,56g,36g,52g
Sanduíches de Carne Bovina,Cheddar McMelt,505kcal,29g,32g,29g
Sanduíches de Carne Bovina,Duplo Burger Bacon,478kcal,27g,34g,26g
Sanduíches de Carne Bovina,Duplo Burger com Queijo,406kcal,20g,32g,24g
Sanduíches de Carne Bovina,Triplo Burger,545kcal,31g,33g,34g
Sanduíches de Carne Bovina,McFiesta,251kcal,10g,27g,13g
Sanduíches de Carne Bovina,Cheeseburger,298kcal,12g,32g,15g
Sanduíches de Carne Bovina,Hamburger,249kcal,8.4g,30g,13g
Família Tasty,Big Tasty Turbo Queijo,1052kcal,72g,52g,49g
Família Tasty,Big Tasty,852kcal,57g,44g,42g
Sanduíches de Frango,McCrispy Chicken Elite,704kcal,30g,70g,39g
Sanduíches de Frango,McCrispy Chicken Legend,926kcal,56g,66g,39g
Sanduíches de Frango,McCrispy Chicken Deluxe,625kcal,31g,54g,34g
Sanduíches de Frango,McCrispy Chicken Melt & Bacon,628kcal,31g,52g,35g
Sanduíches de Frango,McChicken Bacon,448kcal,25g,37g,18g
Sanduíches de Frango,McChicken,396kcal,20g,37g,17g
Sanduíches de Frango,Chicken Jr.,343kcal,16g,38g,11g
Méqui 1000,SuperMc,795kcal,54g,42g,38g
Méqui 1000,McRings Cheddar Bacon,715kcal,45g,64g,12g
Méqui 1000,Caldo&Freddo Chocolate,483kcal,17g,77g,5.6g
Méqui 1000,Caldo&Freddo Morango,468kcal,13g,81g,5.4g
Méqui 1000,McRings Bacon,884kcal,51g,68g,37g
Méqui 1000,Side Salad,11kcal,0.43g,0.97g,0.86g
Méqui 1000,McFloat,144kcal,3.2g,27g,2.3g
Acompanhamentos,McFritas Cheddar Bacon,428kcal,25g,38g,12g
Acompanhamentos,McFritas Grande,422kcal,22g,50g,6.9g
Acompanhamentos,McFritas Média,295kcal,15g,35g,4.8g
Acompanhamentos,McFritas Pequena,211kcal,10.8g,25g,3.4g
Acompanhamentos,McFritas Kids,92kcal,4.7g,11g,1.5g
Acompanhamentos,Chicken McNuggets 4 unidades,155kcal,8.6g,10g,9.1g
Acompanhamentos,Chicken McNuggets 10 unidades,387kcal,21g,26g,23g
Acompanhamentos,Molho Agridoce,44kcal,0.03g,11g,0.2g
Acompanhamentos,Molho Barbecue,40kcal,0.07g,9.3g,0.3g
Acompanhamentos,Molho Ranch,109kcal,11g,1.47g,0.18g
Acompanhamentos,Molho Caipira,51kcal,2.7g,6.3g,0.23g
Acompanhamentos,Chicken McNuggets 6 unidades,232kcal,13g,16g,14g
Acompanhamentos,Ketchup,8.3kcal,0.01g,2g,0.11g
Acompanhamentos,Mostarda,3.8kcal,0.25g,0.08g,0.32g
Acompanhamentos,Tomatinho,11kcal,0.27g,1.6g,0.54g
Acompanhamentos,Chicken McNuggets 15 unidades,581kcal,32g,39g,34g
Acompanhamentos,Quadradão de Molho CBO,384kcal,38g,11g,0.5g
Acompanhamentos,Quadradão de Molho Tasty,304kcal,31g,6.3g,0.6g
Sobremesas,Petit Suisse do Méqui,40kcal,1.3g,4.7g,2.3g
